"KEY","ATOM_NAME","DESCRIPTION","UPDATED_AT","REFERENCE","TEXT","ID",
"liquidWaste","liquidWaste","LRMl Editor - Stefan",2023-02-27 08:35:38.371076000,"NZ_NZBC-G14VM1#2.6","liquid waste",2249,
"blockage","blockage","LRMl Editor - Stefan",2023-02-27 08:35:59.973391000,"NZ_NZBC-G14VM1#2.6","blockage",2250,
"head","head","LRMl Editor - Stefan",2023-02-27 08:36:00.142247000,"NZ_NZBC-G14VM1#2.6","head",2251,
"nominalDiameter","nominalDiameter","LRMl Editor - Stefan",2023-02-27 19:45:17.153852000,"NZ_NZBC-G14VM1#2.6","nominal diameter",2253,
"bend","bend","LRMl Editor - Stefan",2023-02-27 19:45:39.426253000,"NZ_NZBC-G14VM1#2.6","bend",2254,
"centrelineRadius","centrelineRadius","LRMl Editor - Stefan",2023-02-27 19:46:00.835775000,"NZ_NZBC-G14VM1#2.6","centreline radius",2255,
"seismicResistance","seismicResistance","LRMl Editor - Stefan",2023-02-27 19:49:53.620896000,"NZ_NZBC-G14VM1#2.6","seismic resistance",2257,
"industrialLiquidWaste","industrialLiquidWaste","LRMl Editor - Stefan",2023-02-23 01:16:34.418681000,"NZ_NZBC-G14AS1#2.6","industrial liquid waste",2221,
"netArea","netArea","LRMl Editor - Stefan",2023-02-23 01:19:39.315831000,"NZ_NZBC-G4AS1#4.0","net area",2224,
"pipe","pipe","LRMl Editor - Stefan",2023-02-27 19:44:51.848543000,"NZ_NZBC-G14VM1#2.6","pipe",2252,
"solidWasteDisposal","solidWasteDisposal","LRMl Editor - Stefan",2023-02-27 21:49:26.279422000,"NZ_NZBC-G15AS1#2.7","solid waste disposal",2258,
"capacity","capacity","LRMl Editor - Stefan",2023-02-27 21:51:27.571520000,"NZ_NZBC-G15AS1#2.7","capacity",2259,
"protection","protection","LRMl Editor - Stefan",2023-02-27 23:00:48.725602000,"NZ_NZBC-G15AS1#2.7","protection",2260,
"storageBin","storageBin","LRMl Editor - Stefan",2023-02-28 21:07:48.236083000,"NZ_NZBC-G15AS1#2.7","storage bin",2261,
"wasteChute","wasteChute","LRMl Editor - ",2023-02-28 22:57:03.087141000,"NZ_NZBC-G15AS1#2.7","waste chute",2263,
"bottom","bottom","LRMl Editor - ",2023-02-28 23:08:18.249327000,"NZ_NZBC-G15AS1#2.7","bottom",2264,
"terminationPoint","terminationPoint","LRMl Editor - ",2023-02-28 23:12:43.919967000,"NZ_NZBC-G15AS1#2.7","termination point",2265,
"container","container","LRMl Editor - ",2023-02-28 23:14:24.435773000,"NZ_NZBC-G15AS1#2.7","container",2266,
"joint","joint","LRMl Editor - ",2023-02-28 23:14:42.803783000,"NZ_NZBC-G15AS1#2.7","joint",2267,
"diameter","diameter","LRMl Editor - ",2023-02-28 23:57:46.133688000,"NZ_NZBC-G15AS1#2.7","diameter",2268,
"ventilatedCompartment","ventilatedCompartment","LRMl Editor - ",2023-03-01 00:24:12.478777000,"NZ_NZBC-G15AS1#2.7","ventilated compartment",2269,
"pipedWaterSupplySystem","pipedWaterSupplySystem","LRMl Editor - ",2023-03-01 01:24:00.424418000,"NZ_NZBC-G12AS1#3.12","piped water supply system",2270,
"component","component","LRMl Editor - ",2023-03-01 01:31:32.488250000,"NZ_NZBC-G12AS1#3.12","component",2271,
"waterSupplySystem","waterSupplySystem","LRMl Editor - ",2023-03-01 01:40:36.332666000,"NZ_NZBC-G12AS1#3.12","water supply system",2273,
"backflow","backflow","LRMl Editor - ",2023-03-01 01:43:07.973665000,"NZ_NZBC-G12AS1#3.12","backflow",2275,
"overflowPipe","overflowPipe","LRMl Editor - ",2023-03-01 02:43:45.075962000,"NZ_NZBC-G12AS1#3.12","overflow pipe",2276,
"flowRate","flowRate","LRMl Editor - ",2023-03-01 02:44:03.223277000,"NZ_NZBC-G12AS1#3.12","flow rate",2277,
"inletPipe","inletPipe","LRMl Editor - ",2023-03-01 02:44:03.299592000,"NZ_NZBC-G12AS1#3.12","inlet pipe",2278,
"airGapSeparation","airGapSeparation","LRMl Editor - ",2023-03-01 02:57:02.987975000,"NZ_NZBC-G12AS1#3.12","air gap separation",2279,
