"KEY","CODE","DESCRIPTION","TABLE_NAME","TEXT","TITLE",
"mooringBollards","Pr_40_70_55_52","","Pr Products","mooring bollards","Mooring bollards",
"mooringLineTensioners","Pr_40_70_55_53","","Pr Products","mooring line tensioners","Mooring line tensioners",
"mooringCleats","Pr_40_70_55_54","","Pr Products","mooring cleats","Mooring cleats",
"pneumaticFenders","Pr_40_70_55_61","","Pr Products","pneumatic fenders","Pneumatic fenders",
"quickReleaseMooringHooks","Pr_40_70_55_69","","Pr Products","quick-release mooring hooks","Quick-release mooring hooks",
"vacuumMooringDevices","Pr_40_70_55_95","","Pr Products","vacuum mooring devices","Vacuum mooring devices",
"officeEquipment","Pr_40_70_58","","Pr Products","office equipment","Office equipment",
"documentShredders","Pr_40_70_58_23","","Pr Products","document shredders","Document shredders",
"labelMakers","Pr_40_70_58_46","","Pr Products","label makers","Label makers",
"paperLaminators","Pr_40_70_58_60","","Pr Products","paper laminators","Paper laminators",
"personalDryers","Pr_40_70_62","","Pr Products","personal dryers","Personal dryers",
"bodyDryers","Pr_40_70_62_09","","Pr Products","body dryers","Body dryers",
"faceDryers","Pr_40_70_62_29","","Pr Products","face dryers","Face dryers",
"hairdryers","Pr_40_70_62_36","","Pr Products","hairdryers","Hairdryers",
"handDryers","Pr_40_70_62_37","","Pr Products","hand dryers","Hand dryers",
"photographicEquipment","Pr_40_70_63","","Pr Products","photographic equipment","Photographic equipment",
"automatedFilmDevelopingEquipment","Pr_40_70_63_04","","Pr Products","automated film developing equipment","Automated film developing equipment",
"automatedPrintingEquipment","Pr_40_70_63_05","","Pr Products","automated printing equipment","Automated printing equipment",
"enlargers","Pr_40_70_63_28","","Pr Products","enlargers","Enlargers",
"brushedScreens","Pr_60_45_94_09","","Pr Products","brushed screens","Brushed screens",
"coandaScreens","Pr_60_45_94_15","","Pr Products","coanda screens","Coanda screens",
"discScreens","Pr_60_45_94_23","","Pr Products","disc screens","Disc screens",
"drumScreens","Pr_60_45_94_25","","Pr Products","drum screens","Drum screens",
"finescreens","Pr_60_45_94_29","","Pr Products","finescreens","Finescreens",
"flushingScreens","Pr_60_45_94_30","","Pr Products","flushing screens","Flushing screens",
"grabScreens","Pr_60_45_94_34","","Pr Products","grab screens","Grab screens",
"rakedBarScreens","Pr_60_45_94_70","","Pr Products","raked bar screens","Raked bar screens",
"rotatingCombScreens","Pr_60_45_94_71","","Pr Products","rotating comb screens","Rotating comb screens",
"rotaryDrumScreens","Pr_60_45_94_72","","Pr Products","rotary drum screens","Rotary drum screens",
"rotatingBarInterceptors","Pr_60_45_94_73","","Pr Products","rotating bar interceptors","Rotating bar interceptors",
"slotScreens","Pr_60_45_94_78","","Pr Products","slot screens","Slot screens",
"spiralAndCompactionCombinedScreens","Pr_60_45_94_80","","Pr Products","spiral and compaction combined screens","Spiral and compaction combined screens",
"spiralScreens","Pr_60_45_94_81","","Pr Products","spiral screens","Spiral screens",
"staticPerforatedPlateScreens","Pr_60_45_94_83","","Pr Products","static perforated plate screens","Static perforated plate screens",
"staticWedgeWireScreens","Pr_60_45_94_84","","Pr Products","static wedge wire screens","Static wedge wire screens",
"stepScreens","Pr_60_45_94_85","","Pr Products","step screens","Step screens",
"wastewaterSettlementProducts","Pr_60_45_95","","Pr Products","wastewater settlement products","Wastewater settlement products",
"conicalGlassFibreReinforcedPlastics","Pr_60_45_95_15","","Pr Products","conical glass fibre-reinforced plastics","Conical glass fibre-reinforced plastics (GRP) settlement tanks",
"wastewaterTankFlushingProducts","Pr_60_45_96","","Pr Products","wastewater tank-flushing products","Wastewater tank-flushing products",
"circularTankFlushingVessels","Pr_60_45_96_14","","Pr Products","circular tank-flushing vessels","Circular tank-flushing vessels",
"flushingGates","Pr_60_45_96_30","","Pr Products","flushing gates","Flushing gates",
"tippingTroughs","Pr_60_45_96_89","","Pr Products","tipping troughs","Tipping troughs",
"vacuumOperatedStorageReservoirs","Pr_60_45_96_94","","Pr Products","vacuum-operated storage reservoirs","Vacuum-operated storage reservoirs",
"wastewaterTrashRakeProducts","Pr_60_45_97","","Pr Products","wastewater trash rake products","Wastewater trash rake products",
"articulatedArmTrashRakes","Pr_60_45_97_05","","Pr Products","articulated arm trash rakes","Articulated arm trash rakes",
"curvedTrashRakes","Pr_60_45_97_20","","Pr Products","curved trash rakes","Curved trash rakes",
"suspendedTrashRakes","Pr_60_45_97_85","","Pr Products","suspended trash rakes","Suspended trash rakes",
"telescopicArmTrashRakes","Pr_60_45_97_88","","Pr Products","telescopic arm trash rakes","Telescopic arm trash rakes",
"verticalGrabRakes","Pr_60_45_97_94","","Pr Products","vertical grab rakes","Vertical grab rakes",
